login_id,user_id,login_date,device_type,login_channel,login_status
1,1,2024-02-02,iOS,App,Success
2,1,2024-02-09,Android,App,Success
3,1,2024-02-12,iOS,App,Success
4,1,2024-02-19,iOS,App,Success
5,1,2024-03-04,Android,App,Success
6,1,2024-03-08,Android,Web,Success
7,1,2024-03-12,Web,Web,Success
8,1,2024-04-01,Android,App,Success
9,1,2024-04-11,Android,App,Success
10,1,2024-04-20,Web,App,Success
11,1,2024-04-23,Web,App,Success
12,1,2024-05-10,Android,App,Success
13,1,2024-05-18,iOS,App,Success
14,1,2024-05-19,Web,App,Success
15,1,2024-05-29,Web,Web,Success
16,1,2024-06-03,Android,Web,Success
17,1,2024-06-12,Android,Web,Success
18,1,2024-06-19,Web,Web,Success
19,1,2024-06-22,iOS,App,Success
20,1,2024-07-04,iOS,App,Success
21,1,2024-07-17,iOS,App,Success
22,1,2024-07-22,Android,App,Success
23,1,2024-08-03,iOS,Web,Success
24,1,2024-09-06,Web,App,Success
25,1,2024-09-12,iOS,App,Success
26,1,2024-09-15,Android,App,Success
27,1,2024-09-16,Android,App,Success
28,1,2024-09-17,Web,App,Success
29,1,2024-10-01,Android,App,Success
30,1,2024-10-13,Android,App,Failed
31,1,2024-10-21,Android,App,Success
32,1,2024-10-24,iOS,App,Success
33,1,2024-11-01,Android,Web,Success
34,1,2024-11-05,Android,App,Success
35,1,2024-11-29,Android,App,Success
36,1,2024-12-09,Android,App,Success
37,1,2024-12-23,iOS,Web,Success
38,1,2024-12-28,Android,App,Success
39,1,2024-12-30,Android,App,Success
40,2,2024-06-14,iOS,App,Success
41,2,2024-07-02,Android,App,Success
42,2,2024-07-13,Web,App,Success
43,2,2024-07-18,Android,App,Success
44,2,2024-07-21,Android,Web,Success
45,2,2024-11-20,Android,App,Success
46,2,2024-11-21,iOS,App,Success
47,2,2024-11-24,Android,App,Success
48,2,2024-11-25,Android,App,Success
49,2,2024-11-29,iOS,App,Success
50,2,2024-11-30,Web,App,Success
51,2,2024-12-03,iOS,App,Success
52,2,2024-12-07,iOS,App,Success
53,2,2024-12-08,iOS,Web,Success
54,2,2024-12-09,Android,App,Success
55,2,2024-12-12,Android,Web,Success
56,2,2024-12-15,iOS,App,Success
57,2,2024-12-21,iOS,App,Success
58,2,2024-12-22,Web,Web,Success
59,2,2024-12-24,Android,App,Success
60,2,2024-12-29,Android,App,Success
61,2,2024-12-30,Android,App,Failed
62,3,2024-09-18,iOS,App,Success
63,3,2024-09-23,Android,App,Success
64,3,2024-09-28,Android,App,Success
65,3,2024-09-29,Android,App,Failed
66,3,2024-10-03,Android,Web,Failed
67,3,2024-10-09,Android,App,Success
68,3,2024-10-16,iOS,App,Success
69,3,2024-10-18,Android,App,Failed
70,3,2024-10-25,Web,App,Success
71,3,2024-10-30,Android,Web,Success
72,3,2024-10-31,Web,Web,Success
73,3,2024-11-04,Android,Web,Success
74,3,2024-11-08,Android,Web,Success
75,3,2024-11-10,Android,App,Success
76,3,2024-11-16,Web,App,Success
77,3,2024-11-19,Android,Web,Success
78,3,2024-11-28,Web,App,Success
79,3,2024-11-29,Web,Web,Failed
80,3,2024-12-02,Android,Web,Success
81,3,2024-12-09,Android,Web,Failed
82,3,2024-12-13,iOS,App,Success
83,3,2024-12-17,Android,App,Success
84,3,2024-12-18,Android,App,Success
85,3,2024-12-21,Android,Web,Success
86,3,2024-12-24,Android,App,Success
87,4,2024-02-28,Android,App,Failed
88,4,2024-03-02,Android,Web,Success
89,4,2024-03-07,iOS,App,Success
90,4,2024-04-03,Android,App,Success
91,4,2024-04-04,iOS,Web,Success
92,4,2024-04-18,iOS,App,Success
93,4,2024-04-20,Android,App,Success
94,4,2024-04-25,Android,App,Success
95,4,2024-05-01,Android,App,Success
96,4,2024-05-09,Android,App,Success
97,4,2024-06-08,Android,App,Success
98,4,2024-06-11,iOS,Web,Success
99,4,2024-06-17,iOS,App,Success
100,4,2024-07-26,Android,App,Success
101,4,2024-07-29,Web,App,Success
102,4,2024-08-05,Web,App,Success
103,4,2024-08-13,iOS,Web,Success
104,4,2024-08-15,Android,App,Success
105,4,2024-08-31,iOS,Web,Success
106,4,2024-09-02,Android,Web,Success
107,4,2024-09-10,Web,Web,Success
108,4,2024-09-13,Android,App,Success
109,4,2024-09-14,Android,App,Success
110,4,2024-10-27,Android,App,Success
111,4,2024-10-28,Android,Web,Success
112,4,2024-11-03,Web,App,Success
113,4,2024-11-17,Android,App,Success
114,4,2024-11-19,iOS,App,Failed
115,4,2024-12-03,Android,App,Success
116,4,2024-12-09,Android,App,Success
117,4,2024-12-10,Android,App,Success
118,4,2024-12-23,Web,App,Success
119,5,2024-07-17,Android,App,Failed
120,5,2024-07-18,Android,App,Success
121,5,2024-07-24,Web,App,Success
122,5,2024-07-28,iOS,App,Success
123,5,2024-08-02,Android,Web,Success
124,5,2024-08-06,Android,Web,Success
125,5,2024-08-15,Android,App,Success
126,5,2024-08-17,Web,App,Success
127,5,2024-08-22,Web,App,Success
128,5,2024-08-23,Web,App,Success
129,5,2024-08-30,Android,Web,Success
130,5,2024-09-04,iOS,App,Success
131,5,2024-09-13,Android,App,Failed
132,5,2024-09-14,Android,App,Success
133,5,2024-09-15,Android,App,Success
134,5,2024-09-21,iOS,Web,Success
135,5,2024-09-27,Web,Web,Success
136,5,2024-09-29,Android,App,Success
137,5,2024-09-30,Android,App,Success
138,5,2024-10-02,Android,Web,Failed
139,5,2024-10-03,iOS,App,Success
140,5,2024-10-06,Android,App,Success
141,5,2024-10-07,iOS,App,Success
142,5,2024-10-08,Android,App,Success
143,5,2024-10-14,iOS,App,Success
144,5,2024-10-16,Web,App,Success
145,5,2024-10-19,iOS,App,Success
146,5,2024-10-21,iOS,Web,Success
147,5,2024-10-26,Web,Web,Success
148,5,2024-10-28,iOS,App,Failed
149,5,2024-10-29,Android,App,Success
150,5,2024-10-31,Android,Web,Success
151,5,2024-11-10,Web,Web,Success
152,5,2024-11-12,iOS,App,Success
153,5,2024-11-20,iOS,Web,Success
154,5,2024-11-21,Web,App,Success
155,5,2024-11-25,Android,App,Success
156,5,2024-12-02,iOS,App,Success
157,5,2024-12-03,Android,App,Success
158,5,2024-12-07,Android,App,Failed
159,5,2024-12-08,Android,App,Success
160,5,2024-12-12,Android,App,Failed
161,5,2024-12-14,Android,App,Success
162,5,2024-12-15,iOS,App,Success
163,5,2024-12-19,iOS,App,Success
164,5,2024-12-29,Android,App,Success
165,5,2024-12-30,iOS,App,Success
166,6,2024-03-24,Android,App,Success
167,6,2024-04-01,iOS,App,Failed
168,6,2024-04-06,Android,App,Success
169,6,2024-04-12,Web,App,Success
170,6,2024-04-21,iOS,App,Success
171,6,2024-04-24,Web,App,Success
172,6,2024-04-29,Android,App,Success
173,6,2024-05-03,Web,App,Success
174,6,2024-05-04,Android,App,Success
175,6,2024-11-17,iOS,App,Success
176,6,2024-11-18,iOS,App,Success
177,6,2024-12-01,Android,App,Success
178,6,2024-12-02,Android,App,Success
179,6,2024-12-03,iOS,App,Success
180,6,2024-12-04,Web,App,Success
181,6,2024-12-06,Android,App,Success
182,6,2024-12-07,Web,App,Success
183,6,2024-12-08,iOS,App,Success
184,6,2024-12-10,Android,App,Success
185,6,2024-12-11,Web,Web,Success
186,6,2024-12-13,Web,Web,Success
187,6,2024-12-19,Android,App,Failed
188,6,2024-12-22,Android,App,Success
189,6,2024-12-23,iOS,Web,Success
190,6,2024-12-24,iOS,App,Success
191,6,2024-12-25,Android,App,Success
192,6,2024-12-28,Android,App,Success
193,7,2024-09-13,Android,App,Success
194,7,2024-09-17,Android,App,Success
195,7,2024-09-18,iOS,App,Success
196,7,2024-09-22,iOS,App,Failed
197,7,2024-10-16,Android,App,Success
198,7,2024-10-25,iOS,App,Success
199,7,2024-10-31,Android,Web,Success
200,7,2024-11-01,iOS,Web,Failed
201,7,2024-11-02,Android,App,Success
202,7,2024-11-03,Android,App,Failed
203,7,2024-11-04,Web,App,Success
204,7,2024-11-06,Web,Web,Success
205,7,2024-11-07,Android,Web,Success
206,7,2024-11-09,Android,Web,Failed
207,7,2024-11-10,Web,Web,Success
208,7,2024-11-16,Android,App,Success
209,7,2024-11-18,Android,App,Success
210,7,2024-11-20,iOS,App,Success
211,7,2024-11-23,Android,App,Success
212,7,2024-11-29,Android,App,Success
213,7,2024-12-01,iOS,App,Success
214,7,2024-12-03,Android,App,Success
215,7,2024-12-22,Android,App,Success
216,7,2024-12-23,Android,Web,Success
217,7,2024-12-26,iOS,App,Success
218,7,2024-12-27,Android,Web,Success
219,7,2024-12-30,Android,App,Success
220,8,2024-12-16,iOS,Web,Success
221,8,2024-12-17,Android,App,Success
222,8,2024-12-18,Android,App,Success
223,8,2024-12-19,Android,App,Success
224,8,2024-12-20,iOS,Web,Success
225,8,2024-12-21,Web,App,Success
226,8,2024-12-22,Web,App,Success
227,8,2024-12-23,Web,Web,Failed
228,8,2024-12-24,iOS,App,Success
229,8,2024-12-25,iOS,App,Success
230,8,2024-12-26,iOS,App,Success
231,8,2024-12-27,Android,App,Success
232,8,2024-12-28,Android,App,Success
233,8,2024-12-29,Web,App,Success
234,8,2024-12-30,Android,App,Success
235,9,2024-07-20,iOS,App,Success
236,9,2024-07-27,Android,App,Success
237,9,2024-07-30,iOS,App,Success
238,9,2024-07-31,Android,App,Success
239,9,2024-08-01,Android,App,Success
240,9,2024-08-05,Android,App,Success
241,9,2024-08-08,Android,App,Success
242,9,2024-08-10,Android,App,Success
243,9,2024-08-18,Android,App,Success
244,9,2024-08-21,Android,App,Failed
245,9,2024-08-25,Android,App,Failed
246,9,2024-08-28,Android,App,Success
247,9,2024-09-01,Web,App,Success
248,9,2024-09-06,Android,App,Failed
249,9,2024-09-10,Android,Web,Success
250,9,2024-09-11,Android,Web,Success
251,9,2024-09-17,Android,Web,Success
252,9,2024-09-23,Android,Web,Success
253,9,2024-09-29,Android,App,Success
254,9,2024-10-03,Android,App,Success
255,9,2024-10-04,iOS,App,Success
256,9,2024-10-09,Android,App,Success
257,9,2024-10-11,Android,Web,Success
258,9,2024-10-15,Android,Web,Success
259,9,2024-10-23,Android,App,Success
260,9,2024-10-27,Android,App,Success
261,9,2024-11-01,iOS,Web,Success
262,9,2024-11-03,iOS,App,Failed
263,9,2024-11-05,Android,App,Success
264,9,2024-11-06,Android,App,Success
265,9,2024-11-09,Android,Web,Success
266,9,2024-11-15,Android,App,Success
267,9,2024-11-16,Android,App,Success
268,9,2024-11-19,Android,App,Success
269,9,2024-11-24,iOS,App,Failed
270,9,2024-12-05,Android,App,Success
271,9,2024-12-06,Android,App,Success
272,9,2024-12-07,iOS,App,Success
273,9,2024-12-18,Web,App,Success
274,9,2024-12-21,iOS,App,Success
275,9,2024-12-22,iOS,Web,Failed
276,9,2024-12-28,Android,App,Success
277,10,2024-09-04,Android,Web,Success
278,10,2024-09-05,iOS,Web,Success
279,10,2024-09-08,iOS,App,Success
280,10,2024-09-15,Android,Web,Success
281,10,2024-09-16,iOS,Web,Success
282,10,2024-09-20,Android,Web,Success
283,10,2024-09-22,Web,App,Success
284,10,2024-09-23,Android,App,Success
285,10,2024-09-24,Android,App,Success
286,10,2024-10-03,Web,Web,Success
287,10,2024-10-04,Android,App,Success
288,10,2024-10-08,iOS,Web,Success
289,10,2024-10-09,Web,App,Failed
290,10,2024-10-18,Android,App,Success
291,10,2024-10-20,Android,App,Success
292,10,2024-10-28,iOS,App,Success
293,10,2024-11-01,Android,Web,Success
294,11,2024-10-14,Android,App,Success
295,11,2024-10-18,Web,Web,Success
296,11,2024-10-19,Android,App,Success
297,11,2024-10-22,Android,App,Success
298,11,2024-10-26,Web,App,Success
299,11,2024-10-28,Android,Web,Success
300,11,2024-11-03,Android,Web,Failed
301,11,2024-11-07,Android,App,Success
302,11,2024-11-09,Android,App,Success
303,11,2024-11-10,Android,App,Success
