transaction_id,user_id,txn_date,amount,txn_type,status
1,1,2024-02-02,1894.93,P2P,Success
2,1,2024-02-09,2156.47,P2P,Success
3,1,2024-02-12,2752.77,P2M,Success
4,1,2024-02-19,3931.94,P2M,Success
5,1,2024-03-04,3821.45,P2M,Success
6,1,2024-03-08,4453.39,P2P,Success
7,1,2024-03-12,1446.69,P2P,Success
8,1,2024-04-01,1453.88,P2P,Success
9,1,2024-04-11,1590.06,P2M,Success
10,1,2024-04-20,2038.82,P2M,Success
11,1,2024-04-23,3598.78,Investment,Success
12,1,2024-05-10,2010.33,Recharge,Success
13,1,2024-05-18,4918.83,Bill Payment,Success
14,1,2024-05-19,426.62,P2P,Success
15,1,2024-05-29,2635.84,Bill Payment,Success
16,1,2024-06-03,1073.68,P2M,Reversed
17,1,2024-06-12,4198.84,Recharge,Success
18,1,2024-06-19,4966.31,P2M,Success
19,1,2024-06-22,706.17,P2M,Success
20,1,2024-07-04,2291.59,P2M,Success
21,1,2024-07-17,3588.41,P2P,Success
22,1,2024-07-22,966.39,P2M,Success
23,1,2024-08-03,3042.58,P2M,Success
24,1,2024-09-06,4506.54,P2P,Reversed
25,1,2024-09-12,370.52,P2P,Success
26,1,2024-09-15,4448.97,Recharge,Success
27,1,2024-09-16,3805.72,Recharge,Success
28,1,2024-09-17,4364.39,Investment,Success
29,1,2024-10-01,3722.44,P2M,Failed
30,1,2024-10-13,4964.71,P2P,Success
31,1,2024-10-21,1357.42,P2M,Success
32,1,2024-10-24,4054.83,P2M,Success
33,1,2024-11-01,1847.57,P2M,Success
34,1,2024-11-05,4517.68,Recharge,Success
35,1,2024-11-29,4178.26,P2M,Success
36,1,2024-12-09,3389.07,P2M,Success
37,1,2024-12-23,3478.32,P2P,Success
38,1,2024-12-28,1802.81,P2M,Success
39,1,2024-12-30,164.86,P2P,Success
40,2,2024-06-14,177.82,P2M,Success
41,2,2024-07-02,623.82,P2M,Success
42,2,2024-07-13,2751.95,P2P,Failed
43,2,2024-07-14,996.44,P2M,Failed
44,2,2024-07-15,4956.34,Recharge,Failed
45,2,2024-07-16,1187.02,P2P,Failed
46,2,2024-07-18,2865.42,P2M,Success
47,2,2024-07-21,1026.61,P2M,Success
48,2,2024-11-20,4092.07,P2M,Success
49,2,2024-11-21,2445.7,P2M,Success
50,2,2024-11-24,1219.84,Recharge,Success
51,2,2024-11-25,3043.21,P2M,Success
52,2,2024-11-29,612.34,Recharge,Success
53,2,2024-11-30,765.43,Recharge,Success
54,2,2024-12-03,3078.34,P2M,Success
55,2,2024-12-07,3921.32,P2P,Failed
56,2,2024-12-08,1167.65,P2M,Success
57,2,2024-12-09,3530.63,Bill Payment,Success
